dataset,Ts,Te,TP,FN,FP,TPR,FP/TP,ratio
james,0.65,0.4,26,0,73,1.0,2.8080000000000003,0.26262626262626265
james,0.65,0.45,26,0,71,1.0,2.7310000000000003,0.26804123711340205
james,0.7,0.1,26,0,47,1.0,1.808,0.3561643835616438
james,0.7,0.15,26,0,56,1.0,2.154,0.3170731707317073
james,0.7,0.2,26,0,58,1.0,2.231,0.30952380952380953
james,0.7,0.25,26,0,59,1.0,2.269,0.3058823529411765
james,0.7,0.3,26,0,61,1.0,2.346,0.2988505747126437
james,0.7,0.35,26,0,63,1.0,2.423,0.29213483146067415
james,0.7,0.4,26,0,62,1.0,2.385,0.29545454545454547
james,0.7,0.45,26,0,61,1.0,2.346,0.2988505747126437
james,0.75,0.1,26,0,42,1.0,1.615,0.38235294117647056
james,0.75,0.15,26,0,47,1.0,1.808,0.3561643835616438
james,0.75,0.2,26,0,49,1.0,1.885,0.3466666666666667
james,0.75,0.25,26,0,51,1.0,1.962,0.33766233766233766
james,0.75,0.3,25,1,55,0.962,2.2,0.30864197530864196
james,0.75,0.35,25,1,58,0.962,2.32,0.2976190476190476
james,0.75,0.4,25,1,58,0.962,2.32,0.2976190476190476
james,0.75,0.45,25,1,58,0.962,2.32,0.2976190476190476
james,0.8,0.1,25,1,42,0.962,1.68,0.36764705882352944
james,0.8,0.15,25,1,45,0.962,1.8,0.352112676056338
james,0.8,0.2,25,1,47,0.962,1.88,0.3424657534246575
james,0.8,0.25,25,1,47,0.962,1.88,0.3424657534246575
james,0.8,0.3,24,2,50,0.923,2.083,0.3157894736842105
james,0.8,0.35,24,2,50,0.923,2.083,0.3157894736842105
james,0.8,0.4,24,2,50,0.923,2.083,0.3157894736842105
james,0.8,0.45,24,2,50,0.923,2.083,0.3157894736842105
james,0.85,0.1,24,2,35,0.923,1.4580000000000002,0.39344262295081966
james,0.85,0.15,24,2,37,0.923,1.5419999999999998,0.38095238095238093
james,0.85,0.2,24,2,38,0.923,1.5830000000000002,0.375
james,0.85,0.25,24,2,39,0.923,1.625,0.36923076923076925
james,0.85,0.3,23,3,41,0.885,1.783,0.34328358208955223
james,0.85,0.35,23,3,41,0.885,1.783,0.34328358208955223
james,0.85,0.4,23,3,41,0.885,1.783,0.34328358208955223
james,0.85,0.45,23,3,42,0.885,1.826,0.3382352941176471
cameron,0.5,0.1,18,4,36,0.818,2.0,0.3103448275862069
cameron,0.5,0.15,19,3,44,0.8640000000000001,2.316,0.2878787878787879
cameron,0.5,0.2,19,3,52,0.8640000000000001,2.737,0.25675675675675674
cameron,0.5,0.25,18,4,61,0.818,3.389,0.21686746987951808
cameron,0.5,0.3,18,4,67,0.818,3.722,0.20224719101123595
